Date,Interest Rate,Manufacturing,Mining,Interest Rate MoM Change,Manufacturing MoM Change,Mining MoM Change
2005-11-01,6.886538461538461,2.6852846401718637,108.175075393268,1.3700956802355169,322.03723594700205,1.0045662100462982
2005-12-01,6.8196,2.0105820105820014,104.556198549189,-0.9720189891091691,-25.125925925926417,-3.3453887884271394
2006-01-01,6.7368000000000015,3.950103950103944,108.566305322357,-1.2141474573288624,96.46569646569705,3.835360149672451
2006-02-01,6.675833333333332,0.9414225941422626,105.436465889641,-0.9049796144559585,-76.16714380092479,-2.8828828828823316
2006-03-01,6.527199999999999,1.2565445026177935,108.370690357812,-2.2264386468605735,33.47294938917851,2.7829313543591416
2006-04-01,6.64909090909091,3.8743455497382167,109.348765180536,1.8674302777747176,208.33333333333493,0.9025270758123538
2006-05-01,6.80346153846154,1.7708333333333548,107.294808052816,2.321680233903378,-54.29335585585526,-1.8783542039353618
2006-06-01,7.113200000000001,5.473684210526307,110.522454967805,4.55265984510147,209.1021671826583,3.008204193254338
2006-07-01,7.277692307692307,6.80628272251308,107.979460428723,2.312493781874636,24.34554973821992,-2.300884955752003
2006-08-01,7.687307692307693,4.801670146137776,109.348765180536,5.6283690941761,-29.45238477597566,1.2681159420285137
2006-09-01,7.7504,3.528225806451617,108.175075393268,0.8207334767598828,-26.520862552594416,-1.073345259391112
2006-10-01,8.221538461538461,8.113804004214957,108.761920286902,6.078892206059838,129.9683877766065,0.5424954792039971
2006-11-01,8.23076923076923,7.112970711297088,111.402722308257,0.11227544910179521,-12.334945389338426,2.4280575539571636
2006-12-01,8.392608695652175,7.7800829875518795,107.686037981906,1.9662738724096185,9.37881376617029,-3.3362598770851792
2007-01-01,8.703846153846152,3.9000000000000132,112.77202706007,3.708470982987855,-49.87199999999991,4.722979109899628
2007-02-01,8.656666666666666,8.082901554404147,112.282989648708,-0.5420533215495515,107.25388601036205,-0.43365134431919694
2007-03-01,8.281538461538462,7.652533609100294,110.424647485533,-4.33340244660998,-5.32442393869511,-1.6550522648079324
2007-04-01,8.279999999999998,4.637096774193548,108.66411280463,-0.01857700167195997,-39.40442458587607,-1.5943312666075404
2007-05-01,8.495384615384616,7.881269191402234,107.88165294645,2.6012634708287186,69.96128343197863,-0.7200720072014888
2007-06-01,9.0164,2.8942115768463097,107.392615535088,6.132922854038392,-63.277341421053876,-0.4533091568450054
2007-07-01,9.028461538461539,1.7647058823529467,104.556198549189,0.1337733292837262,-39.02636916835686,-2.6411657559194612
2007-08-01,9.127692307692307,4.581673306772932,106.903578123726,1.0990883530714646,159.62815405046533,2.2450888681005976
2007-09-01,9.312916666666666,0.7789678675754361,107.099193088271,2.029257261643913,-82.9981795859623,0.18298261665159465
2007-10-01,9.768148148148148,3.8011695906432656,105.045235960551,4.888173037249155,387.9751461988458,-1.91780821917783
2007-11-01,10.218076923076923,3.1250000000000027,104.654006031461,4.606080580525118,-17.788461538461263,-0.37243947858514037
2007-12-01,10.475217391304344,0.09624639076033252,105.240850925096,2.516525077695242,-96.92011549566935,0.5607476635520081
2008-01-01,10.473846153846154,0.288739172281019,100.057054364659,-0.01309030072568218,200.00000000002225,-4.925650557620931
2008-02-01,10.3192,1.7257909875359383,103.578123726465,-1.476498237367796,497.69894534998906,3.519061583577532
2008-03-01,10.1825,3.1700288184438152,95.1666802510392,-1.3247150941933628,83.6855587576072,-8.120868744098143
2008-04-01,10.2656,5.780346820809246,103.284701279648,0.8161060643260498,82.34366789280013,8.530318602261167
2008-05-01,10.6032,0.7590132827324644,106.903578123726,3.2886533665835493,-86.86907020872836,3.5037878787873344
2008-06-01,11.419583333333335,5.7225994180407485,102.600048903741,7.699405211005517,653.9524733268522,-4.025617566330919
2008-07-01,11.37777777777778,1.059730250481692,97.2206373787595,-0.36608652290777144,-81.48166291107421,-5.243088655862572
2008-08-01,11.35,2.666666666666661,102.404433939196,-0.2441406250000222,151.63636363636402,5.331991951709858
2008-09-01,11.1488,0.4830917874396295,104.654006031461,-1.7726872246696002,-81.88405797101386,2.196752626552012
2008-10-01,10.928148148148148,-4.6948356807511615,106.805770641454,-1.9791533784071058,-1071.8309859154583,2.0560747663554757
2008-11-01,10.8504,-6.628787878787897,97.5140598255766,-0.7114485189452902,41.193181818182566,-8.699633699633702
2008-12-01,10.769166666666667,-13.653846153846152,97.9052897546662,-0.7486667158200011,105.9780219780214,0.40120361083253453
2009-01-01,10.656153846153849,-14.395393474088287,91.5478034069606,-1.0494110083988373,5.4310507961395915,-6.493506493506496
2009-02-01,9.224166666666667,-16.116870876531568,92.7214931942294,-13.43812411270725,11.958529688972664,1.2820512820513663
2009-03-01,8.605384615384617,-17.13221601489758,91.0587659955986,-6.708270499037495,6.2998900105633915,-1.793248945147785
2009-04-01,8.280000000000001,-20.673952641165766,95.2644877333116,-3.7811745776347605,20.672962698978424,4.6186895810956585
2009-05-01,7.6788,-16.478342749529208,96.4381775205803,-7.260869565217409,-20.294183528708977,1.2320328542094083
2009-06-01,7.226400000000001,-20.091743119266066,96.8294074496699,-5.891545553992794,21.92817824377451,0.40567951318462026
2009-07-01,7.386666666666668,-15.347950428979981,100.252669329204,2.217794014539276,-23.610657682245794,3.535353535353858
2009-08-01,7.1616,-16.512059369202227,93.6017605346809,-3.046931407942255,7.584784337224448,-6.634146341463698
